event,place,date,latitude,longitude,notes,image_link
First time we saw eachother,IDC,2021-06-18,32.1758874,34.835198,You sent me - I saw you!,https://i.ibb.co/kxFVLXK/IMG-4585.jpg
First Kiss,Municipal Bar,2021-06-20,32.1627707,34.8390053,"We went on a date to the Municipal, talking freely about our deepest secrets (or others' hahaha), I tried gaining enough confidence to ask you if it's okay that I kiss you, you said yes. WOOHOO",https://i.ibb.co/c6HSDW1/IMG-20211202-154948.jpg
1st Date,Municipal Bar,2021-06-20,32.1627707,34.8390053,"Municipal Hezliya, Shutaf Abergil gave us extra shots, I knew what's best on the menu but didn't feel comfortable enough to order food just yet... not too late after and you already know what's my ""usual"".",https://i.ibb.co/Z6ZLmnY/IMG-20211203-172745.jpg
2nd Date,Yam Bar,2021-06-25,32.1682466,34.7967596,"2nd date, We thought about goin to watch the sunset from the YamBar, you offered to come on your scooter (cmonnn really?!), I had a date idea, and 2 more backups because of well, anxiety... When going to show you the bottle of wine I brought: ""Yea I also brought weed"" a green flag for me obviously. Then we smoked and I smoked too much and got really high, to a point I thought I'm embarassing myself and there probably won't be a 3rd date, to which you replied ""Oh you're high? Great, enjoy it!"". Later we went down to the beach to play for the first (and probably last?) time WNRS, that turned into an intense makeout sesh -> and then to an almost duel between you and our robber. another night saved by the upcoming girlfriend, 10 points to Learlir.",https://i.ibb.co/SKyx2Lp/IMG20220604123116.jpg
3rd Date,Your old apartment,2021-06-29,32.1672382,34.833921,"Pizza making, Smoking J's & laughing bymyself at every joke in family guy (found the perfect girl!)",https://i.ibb.co/PY1Lwkd/IMG20220807131736-01.jpg
Sleepover,Your old apartment,2021-07-01,32.1672382,34.833921,"I remember it vaugely - 'okay we can cuddle but nothing more' and nothing else happend that night, but we did fall asleep together and it was really cute.",https://i.ibb.co/zZPMfRT/IMG20220812145405.jpg
Horrifying Movie Together,Lev Cinema,2021-07-03,32.1840745,34.850619,"Promising Young Woman - from the imdb description: A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path. IS THIS REALLY A DATENIGHT MOVIE OR A TEST?!",https://i.ibb.co/17PKvnM/IMG20220812145409.jpg
"""I Love You"" by Idan",Michali's,2021-07-24,32.7047458,35.1605127,"""I think I'm starting to have feeling for you, uhmm well I'm falling in love with you.... damn it I love you OKAY?""",https://i.ibb.co/PcKRRsT/IMG20220828171909.jpg
Documented Ride Together,Your house,2021-08-04,32.1672382,34.833921,,https://i.ibb.co/dLz85tj/IMG20220828171918.jpg
Trip Together,Mitzpe Ramon,2021-08-10,30.6211963,34.8596895,,https://i.ibb.co/VMxKKC6/IMG20230426171227.jpg
Time Apart,US & Israel,2021-08-12,47.6103768,-122.1479926,,https://i.ibb.co/hCjNGjN/IMG20220902193304.jpg
Abroad #1,Madrid,2021-11-26,40.4371005,-3.7137418,,https://i.ibb.co/LkS9v8x/IMG20230427173915.jpg
First time in Rome,Rome,2022-02-08,41.8986148,12.4794478,,https://i.ibb.co/kxFVLXK/IMG-4585.jpg
Living Together,Rabenu Tam,2022-03-29,32.1633999,34.836655,,https://i.ibb.co/c6HSDW1/IMG-20211202-154948.jpg
Sex on a Boat!,Greece,2022-04-16,37.5042782,24.1610301,,https://i.ibb.co/Z6ZLmnY/IMG-20211203-172745.jpg
Time at Renata's,"Bellview, WA",2022-08-05,47.6103768,-122.1479926,,https://i.ibb.co/SKyx2Lp/IMG20220604123116.jpg
Doggy Daughter,Rehovot loves dogs,2022-09-08,31.8934461,34.8842884,,https://i.ibb.co/PY1Lwkd/IMG20220807131736-01.jpg
"""I Love You"" by Lear",Israel,,31.4018437,36.4010069,,https://i.ibb.co/zZPMfRT/IMG20220812145405.jpg
1 Year Anniversary,"Joya, Herzliya, Israel",,0,0,,https://i.ibb.co/17PKvnM/IMG20220812145409.jpg
First time in Berlin,,,0,0,Also our First time in a nude spa wink wink,https://i.ibb.co/PcKRRsT/IMG20220828171909.jpg
First Hike Together,,,0,0,,https://i.ibb.co/dLz85tj/IMG20220828171918.jpg
First time in Sinai,"Kumkum3, Sinai, Egypt",,0,0,,https://i.ibb.co/VMxKKC6/IMG20230426171227.jpg
,,,0,0,,https://i.ibb.co/hCjNGjN/IMG20220902193304.jpg
